ward,poi,fclass,distance_m,population,flow_score
Ara 2,University of Abuja,university,72244.35169882416,55520.21999879984,40.45003010695934
Ara 2,University of Abuja Teaching Hospital,hospital,75052.54768464848,55520.21999879984,30.546429023847498
Ara 2,Kuje Stadium,stadium,53386.75431707895,55520.21999879984,266.62072048655074
Ara 2,Talek Hospital,hospital,59206.54348988277,55520.21999879984,148.98538422716754
Ara 2,park_813356568,park,99412.78442243955,55520.21999879984,2.6730606197471984
Ara 2,park_813356569,park,99412.78442243955,55520.21999879984,2.6730606197471984
Ara 2,park_808298029,park,129740.6971841514,55520.21999879984,0.12879063717073874
Ara 2,park_843331799,park,91169.5512163779,55520.21999879984,6.095479531506211
Ara 2,park_843331763,park,90988.9792922239,55520.21999879984,6.206546539558791
Ara 2,park_843331796,park,91143.62524990916,55520.21999879984,6.111303154573454
Ara 2,park_843331795,park,91143.62524990916,55520.21999879984,6.111303154573454
Ara 2,park_843331774,park,91054.42588335642,55520.21999879984,6.166059439833694
Ara 2,park_843331830,park,91151.47432164213,55520.21999879984,6.106508230920389
Ara 2,park_843331790,park,91049.53972116245,55520.21999879984,6.169073012666083
Ara 2,park_843331798,park,91206.61755876604,55520.21999879984,6.072927639999635
Ara 2,Secondary School  Sheretti,school,60438.53327185981,55520.21999879984,131.71615027490904
Ara 2,Customary Court Kabusa,courthouse,61130.24164846355,55520.21999879984,122.91319725197071
Ara 2,Kabusa Area Court,courthouse,60510.780769009674,55520.21999879984,130.76796338659975
Ara 2,Kabusa Community Secondary School,school,61699.99286001268,55520.21999879984,116.10596571749194
Ara 2,Waru Health Centre,clinic,60197.92228627128,55520.21999879984,134.923820835591
Ara 2,Waru Health Centre,clinic,60339.55572032385,55520.21999879984,133.02631764208743
Ara 2,Waru Health Centre,clinic,60339.55572032385,55520.21999879984,133.02631764208743
Ara 2,Novare Apo,mall,66519.21643211844,55520.21999879984,71.70646525603792
Ara 2,CedarCrest Abuja Hospital,hospital,68175.94279408666,55520.21999879984,60.758578266112956
Ara 2,school_543230327,school,68777.43930097828,55520.21999879984,57.211711709273
Ara 2,Government Secondary School,school,65835.04109478713,55520.21999879984,76.78416609108484
Ara 2,Sahad Hospitals,hospital,66451.74584074276,55520.21999879984,72.19190883437035
Ara 2,Victory Academy,school,61441.56529733409,55520.21999879984,119.14557061067516
Ara 2,school_1156364262,school,61173.45687820742,55520.21999879984,122.38317113109778
Ara 2,Chief Palace Kabusa,community_centre,61371.00826166228,55520.21999879984,119.98919913478315
Ara 2,Eternal Love School,school,62144.40764242444,55520.21999879984,111.05902241323875
Ara 2,Faplins Estate Mall,mall,64768.9460214891,55520.21999879984,85.42236532322636
Ara 2,Sunflower Mall,mall,65166.312689849365,55520.21999879984,82.09452183400091
Ara 2,Prince Ebeano Supermarket,supermarket,64873.99531143168,55520.21999879984,84.52970630975182
Ara 2,"Faithful International Academy, Creche, Nursery & Primary",school,64210.77434988948,55520.21999879984,90.32597963996653
Ara 2,Excel Christabel Nursery and Primary School,school,64210.77434988948,55520.21999879984,90.32597963996653
Ara 2,Gudu Market,market_place,67098.34633278458,55520.21999879984,67.6716900228252
Ara 2,MKK Plaza,mall,67144.83643564286,55520.21999879984,67.35781381204065
Ara 2,Prixair Supermarket,supermarket,67483.739938593,55520.21999879984,65.1132827062205
Ara 2,Kaura Modern Market,market_place,68805.11859964384,55520.21999879984,57.053572663574236
Ara 2,Anglican Girls Grammar School,school,68380.12847555614,55520.21999879984,59.530554998772715
Ara 2,Dabo Mall,mall,71630.07806141386,55520.21999879984,43.01267120825307
Ara 2,Embassy of Burundi,embassy,73461.78344075647,55520.21999879984,35.81347479859734
Ara 2,Embassy of Norway,embassy,73614.09727422537,55520.21999879984,35.27211929748001
Ara 2,Embassy of Finland,embassy,73676.41626838357,55520.21999879984,35.05299050132744
Ara 2,Barbieplace Supermarket,supermarket,68471.49359934828,55520.21999879984,58.98913047831951
Ara 2,Lasad super market,supermarket,69629.57917111293,55520.21999879984,52.53841627484665
Ara 2,Garki Market,market_place,71889.96709109006,55520.21999879984,41.909219921395
Ara 2,High commission of Jamaica,embassy,73307.02481707277,55520.21999879984,36.372030120258465
Ara 2,Embassy of Sweden,embassy,73892.02656791717,55520.21999879984,34.30530136226405
Ara 2,sports_centre_12213103,sports_centre,72555.7092990792,55520.21999879984,39.20999260793864
Ara 2,Dummec Plaza,mall,72138.87265695594,55520.21999879984,40.87895128186455
Ara 2,Embassy of Burkina Faso,embassy,71982.4384169382,55520.21999879984,41.52346611534664
Ara 2,Embassy of Palestine,embassy,70883.644582535,55520.21999879984,46.34614418439389
Ara 2,Abuja Shopping Complex,mall,71318.83256873385,55520.21999879984,44.37247304963782
Ara 2,Garki Hospital,hospital,71761.71523119272,55520.21999879984,42.45017497122112
Ara 2,hospital_1328909774,hospital,71761.71523119272,55520.21999879984,42.45017497122112
Ara 2,Dara Medical Clinic,hospital,72170.59991007841,55520.21999879984,40.74945912853506
Ara 2,Children Development Park,park,72200.12270217651,55520.21999879984,40.62933275808322
Ara 2,Embassy of Egypt,embassy,71883.5562393565,55520.21999879984,41.93609591489349
Ara 2,Embassy of Cuba,embassy,71883.5562393565,55520.21999879984,41.93609591489349
Ara 2,United Nations House Abuja,embassy,71982.4384169382,55520.21999879984,41.52346611534664
Ara 2,Embassy of Iraq,embassy,72017.22330886508,55520.21999879984,41.37927811081733
Ara 2,Embassy of Sudan in Abuja,embassy,72017.22330886508,55520.21999879984,41.37927811081733
Ara 2,Embassy of Ethiopia in Abuja,embassy,72287.49262196233,55520.21999879984,40.275900817960505
Ara 2,Embassy of Guinea in Abuja,embassy,71480.56635029985,55520.21999879984,43.66059253725893
Ara 2,Embassy of North Korea,embassy,71488.23189981452,55520.21999879984,43.6271371182123
Ara 2,High Commission of Zambia in Abuja,embassy,73001.39009850097,55520.21999879984,37.50084806686867
Ara 2,Embassy of Romania,embassy,75275.80952680377,55520.21999879984,29.872000543894362
Ara 2,Legends Supermarket,supermarket,73778.98710080702,55520.21999879984,34.695286694817696
Ara 2,High Commission of Kenya in Abuja,embassy,72017.22330886508,55520.21999879984,41.37927811081733
Ara 2,Embassy of Liberia in Abuja,embassy,71710.2925076391,55520.21999879984,42.66902754997971
Ara 2,Moshood Abiola National Stadium,stadium,70340.1125956648,55520.21999879984,48.93492225423694
Ara 2,Embassy of Benin,embassy,72543.10686111057,55520.21999879984,39.25943790791998
Ara 2,Embassy of Turkey,embassy,72385.5117208707,55520.21999879984,39.88304856391601
